commit_hash,label,message,body,xcm
1c1894cdd39a17d4d87f3dce001f0dd26d164d3a,0,"merge pull request from kubespray calicodefaultpool

disable calicoctl from create default pool","sometimes invoke calicoctl create pool also
create default pool which cause error deploy","merge pull request from kubespray calicodefaultpool

disable calicoctl from create default poolsometimes invoke calicoctl create pool also
create default pool which cause error deploy"
f21a707e99450b70caf3da62c61217aa5c89d43a,0,containerd flatcar container linux,"

what type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
containerd support flatcar container linux
which issue this


special note your reviewer
this introduce user face change

none","containerd flatcar container linux

what type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
containerd support flatcar container linux
which issue this


special note your reviewer
this introduce user face change

none"
f004cc07df10a8524ae0319d0bba97ab6cfb08f5,0,"merge pull request from mattymo k8sperhost

generate individual certificate host","depends
each host specific certificate instead share certificate","merge pull request from mattymo k8sperhost

generate individual certificate hostdepends
each host specific certificate instead share certificate"
640190217dbde1ec49f20964d18ea4d1e25f591e,0,update match actuall require perform unsafe upgrade clusteryml playbook relate https githubcom kubernetes sigs kubespray issue http githubcom kubernetes sigs kubespray issue,"update match actuall require perform unsafe upgrade clusteryml playbook
relates




what type this
kind documentation
what this need
which issue this

","update match actuall require perform unsafe upgrade clusteryml playbook relate https githubcom kubernetes sigs kubespray issue http githubcom kubernetes sigs kubespray issueupdate match actuall require perform unsafe upgrade clusteryml playbook
relates




what type this
kind documentation
what this need
which issue this

"
5d9946184a5959b0a9cc855bb8fc1e6f961ce6cb,0,"ignore assert error kube master

kube node etcd empty task
assert must ignore ignore assert error true","kube node etcd empty task
assert must ignore ignore assert error true
what type this
kind cleanup
what this need
with this possible deploy master etcd without obligation have worker node available
scenario

deploy master etcd worker node different moment
have different deploy method between master etcd worker node
ansible control machine reach master etcd worker node simultaneously

special note your reviewer
this introduce user face change
none","ignore assert error kube master

kube node etcd empty task
assert must ignore ignore assert error truekube node etcd empty task
assert must ignore ignore assert error true
what type this
kind cleanup
what this need
with this possible deploy master etcd without obligation have worker node available
scenario

deploy master etcd worker node different moment
have different deploy method between master etcd worker node
ansible control machine reach master etcd worker node simultaneously

special note your reviewer
this introduce user face change
none"
3ca205446e82724380ed416a10ca94afe1607103,0,"possibility specify vsphere credential variable

possibility specify vsphere credential variable

remove excessive spacing","what type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
since vsphere password variable plain text config file very easy user plain text while test which might lead unwanted consequence
able easily sensitive credential other method than from config should able environment variable
this already case extra make this process more straight forward suggest this variable which would change current behavior
same approach openstack same name convention official terraform module
which issue this

none
special note your reviewer
this introduce user face change

vsphere credential environment variable","possibility specify vsphere credential variable

possibility specify vsphere credential variable

remove excessive spacingwhat type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
since vsphere password variable plain text config file very easy user plain text while test which might lead unwanted consequence
able easily sensitive credential other method than from config should able environment variable
this already case extra make this process more straight forward suggest this variable which would change current behavior
same approach openstack same name convention official terraform module
which issue this

none
special note your reviewer
this introduce user face change

vsphere credential environment variable"
2f9a8c04dc20007a2c4801e24830054dc206af26,0,nginx image repo mirror image quay,"what type this
kind feature
what this need
well much pull this
which issue this
none
special note your reviewer

this introduce user face change
none","nginx image repo mirror image quaywhat type this
kind feature
what this need
well much pull this
which issue this
none
special note your reviewer

this introduce user face change
none"
009e208bcd84a0e15628d4ed5e4e39c2a1a7f83c,0,"remove rhel from packet deploy

change","kind
deploy rhel packet have another remove packet rhel cilium","remove rhel from packet deploy

changekind
deploy rhel packet have another remove packet rhel cilium"
1329d3f03bc3f35117b1b48564144f4c616124da,0,test rockylinux9 cilium,"what type this
kind cleanup
what this need
there some issue about network provide check




which issue this


special note your reviewer
this introduce user face change

rockylinux9 cilium","test rockylinux9 ciliumwhat type this
kind cleanup
what this need
there some issue about network provide check




which issue this


special note your reviewer
this introduce user face change

rockylinux9 cilium"
50c6a98b15f4acb6b64bbb35294b01b3daf43e99,0,"merge pull request from mirwan docker ubuntu under bionic

docker ubuntu version before bionic","what this about

addition docker versioned entry which also available trusty xenial
move edge version sure intend behaviour this separate commit","merge pull request from mirwan docker ubuntu under bionic

docker ubuntu version before bionicwhat this about

addition docker versioned entry which also available trusty xenial
move edge version sure intend behaviour this separate commit"
1fcbbd3b9d5b31610c58d8859a93610f3c20537a,0,"update containerd documentation with etcd change

update containerd documentation with etcd change

update conterind","what type this
kind documentation
which issue this


special note your reviewer
this introduce user face change

none","update containerd documentation with etcd change

update containerd documentation with etcd change

update conterindwhat type this
kind documentation
which issue this


special note your reviewer
this introduce user face change

none"
04f2682ac6681d64a81500ee6d1fd0c730fadb20,0,drop unused dynamic inventory function,"follow type contrib terraform

triton machine
digitalocean droplet
softlayer virtualserver
instance
google compute instance
vsphere virtual machine
azure instance
server

therefore might well drop them from terraformpy","drop unused dynamic inventory functionfollow type contrib terraform

triton machine
digitalocean droplet
softlayer virtualserver
instance
google compute instance
vsphere virtual machine
azure instance
server

therefore might well drop them from terraformpy"
69fc19f7e03b06a479d2c0d3d70cf202a8f00e25,0,"merge pull request from adidenko separate netcheck container

support different netcheck container",replace netcheck with netcheck version additional netcheck server netcheck agent config option default netcheck version provide ability different server agent container,"merge pull request from adidenko separate netcheck container

support different netcheck containerreplace netcheck with netcheck version additional netcheck server netcheck agent config option default netcheck version provide ability different server agent container"
a9de6dde334a94aceb2bee8e4c9d3147698eaf9b,0,cleanup unneeded elif kubelet file,"what type this
kind cleanup
what this need
unnecessary elif kubelet file
which issue this
none
special note your reviewer
none
this introduce user face change
none","cleanup unneeded elif kubelet filewhat type this
kind cleanup
what this need
unnecessary elif kubelet file
which issue this
none
special note your reviewer
none
this introduce user face change
none"
a8e2110b2db5ff18aac99d17c39b298503113ce8,0,update extra repo base,"believe this structure compute releasever example instead require when kubespray configure this extras repo break because point proper repo kubespray only configure this extras repo when container selinux package find condition probably uncommon nonetheless cause avoidable playbook failure



kubespray role container engine docker default mainyml


line

73b2683







extra repo base http mirrorcentosorg centos releasever extras basearch





look docker repo base comparison that already format simple work



kubespray role container engine docker default mainyml


line

73b2683







docker repo base http downloaddockercom linux centos basearch stable","update extra repo basebelieve this structure compute releasever example instead require when kubespray configure this extras repo break because point proper repo kubespray only configure this extras repo when container selinux package find condition probably uncommon nonetheless cause avoidable playbook failure



kubespray role container engine docker default mainyml


line

73b2683







extra repo base http mirrorcentosorg centos releasever extras basearch





look docker repo base comparison that already format simple work



kubespray role container engine docker default mainyml


line

73b2683







docker repo base http downloaddockercom linux centos basearch stable"
0e98814732d17da11e15908d53a191bbbd267801,0,configure priorityclassname metallb deployment,"what type this
kind feature
what this need
already configure priorityclassname other critical kubernetes apps consider that metallb should configure
special note your reviewer
decide configure priorityclassname system cluster critical discus
this introduce user face change
metallb configure priorityclassname deployment","configure priorityclassname metallb deploymentwhat type this
kind feature
what this need
already configure priorityclassname other critical kubernetes apps consider that metallb should configure
special note your reviewer
decide configure priorityclassname system cluster critical discus
this introduce user face change
metallb configure priorityclassname deployment"
cac2196ad5bee6e8df6597f9821e7d14363b3cdb,0,"merge pull request from hswong3i local volume provisioner download

local volume provisioner container download related thing should define download role","related comment
nothing special just simply move download information download role","merge pull request from hswong3i local volume provisioner download

local volume provisioner container download related thing should define download rolerelated comment
nothing special just simply move download information download role"
271be92b0219010bca6c3d6db8b7d38aeab059b3,0,"update kubernetes reliabilitymd

minor change just correct char","what type this
kind cleanup
what this need
minor change just correct char
which issue this

special note your reviewer
this introduce user face change
none","update kubernetes reliabilitymd

minor change just correct charwhat type this
kind cleanup
what this need
minor change just correct char
which issue this

special note your reviewer
this introduce user face change
none"
bc7d1f36ea854001cad38f4cb0423ed7cfc08bdb,0,"remove wasteful extra gather fact step

ansible will gather fact preinstall download role
automatically start that play","ansible will gather fact preinstall download role
automatically start that play","remove wasteful extra gather fact step

ansible will gather fact preinstall download role
automatically start that playansible will gather fact preinstall download role
automatically start that play"
d387d4811f8daf6177835f0bf0a4544683e88166,0,replace createhome,"what type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
createhome work
should create home
http docsansiblecom ansible late collection ansible builtin user modulehtml
which issue this


special note your reviewer
this introduce user face change

ansible user module create home property erroneously write createhome","replace createhomewhat type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
createhome work
should create home
http docsansiblecom ansible late collection ansible builtin user modulehtml
which issue this


special note your reviewer
this introduce user face change

ansible user module create home property erroneously write createhome"
2f0f0006e33d36b683d313c826ff12a0713374c4,0,"merge pull request from mattymo feat rolling3

case test upgrade from v201 release","these manual trigger should
impact upgrade","merge pull request from mattymo feat rolling3

case test upgrade from v201 releasethese manual trigger should
impact upgrade"
ce0b7834ff4fb25ad9809b4b1e0b8f609f770498,0,"refactor cilium ipsec enable check

this followup

http githubcom kubernetes sigs kubespray pull

although code work there desire good solution
hopefully people will happy with this alternative","this followup

although code work there desire good solution
hopefully people will with this alternative","refactor cilium ipsec enable check

this followup

http githubcom kubernetes sigs kubespray pull

although code work there desire good solution
hopefully people will happy with this alternativethis followup

although code work there desire good solution
hopefully people will with this alternative"
04746fc4d8f3e5411f021a27acf5fbc67e7b73b3,0,"merge pull request from mattymo setup

hypervisor playbook contrib","optional ansible playbook prepare host kargo
this include creation user account some basic package
sysctl value require allow network libvirt network","merge pull request from mattymo setup

hypervisor playbook contriboptional ansible playbook prepare host kargo
this include creation user account some basic package
sysctl value require allow network libvirt network"
4c88ac69f277b8ee45686b24f9651adcf965991a,0,"kubectl apply instead create replace

disable check exist resource speed execution",disable check exist resource speed execution,"kubectl apply instead create replace

disable check exist resource speed executiondisable check exist resource speed execution"
0aa6d3d4bcb4597199c04ecf48463ef2ce79faa7,0,"replace ascii with ascii

when open mainyaml show string correctly
ascii string this replace","what type this
kind cleanup
what this need
when open mainyaml show string correctly ascii string
this replace
this introduce user face change

none","replace ascii with ascii

when open mainyaml show string correctly
ascii string this replacewhat type this
kind cleanup
what this need
when open mainyaml show string correctly ascii string
this replace
this introduce user face change

none"
dc58159d16409111ec0d8bbb66e23cd033726f8f,0,"merge pull request from xenolog calico network backend

ability define network backend calico","this introduce calico network backend global variable
which allow describe alternative network backend
default behavior unchanged
allow value bird gobgp none bird default value","merge pull request from xenolog calico network backend

ability define network backend calicothis introduce calico network backend global variable
which allow describe alternative network backend
default behavior unchanged
allow value bird gobgp none bird default value"
1a259035833f878a3891f942e91147fe677ae451,0,"merge pull request from kubernetes incubator ant31 patch

remove huge gitlab logo",remove huge gitlab logo,"merge pull request from kubernetes incubator ant31 patch

remove huge gitlab logoremove huge gitlab logo"
65a9772adfc8ae7d463c9b3cbc87a5dcd1dc1791,0,openstack lbaas support,"close
sorry mess repository","openstack lbaas supportclose
sorry mess repository"
f2635776cdf5b8b74315516d3b0b68236cdc044c,0,make calico felix level configurable,"
this test sure where them desire like some pointer","make calico felix level configurable
this test sure where them desire like some pointer"
797bfd85b0a43b399dba4211a50cb180f9b53fda,0,only create kubeadm compat cert link exist,"what type this
kind
what this need
kubernetes compat cert kubernetes already exist have config symlink creation preinstalling fails create symlink already exist
special note your reviewer
this introduce user face change
none","only create kubeadm compat cert link existwhat type this
kind
what this need
kubernetes compat cert kubernetes already exist have config symlink creation preinstalling fails create symlink already exist
special note your reviewer
this introduce user face change
none"
be2bfd867c22017d1d5838ad297f1bdfa021b2c0,0,support rewrite plugin coredns nodelocaldns,"what type this
kind feature
what this need
support usage coredns plugin rewrite http corednsio plugins rewrite
this allow rewrite example external domain internal kubernetes service name before query upstream
which issue this

special note your reviewer
find variable coredns cluster therefore standard hardcoded example
this introduce user face change
support rewrite plugin coredns nodelocaldns","support rewrite plugin coredns nodelocaldnswhat type this
kind feature
what this need
support usage coredns plugin rewrite http corednsio plugins rewrite
this allow rewrite example external domain internal kubernetes service name before query upstream
which issue this

special note your reviewer
find variable coredns cluster therefore standard hardcoded example
this introduce user face change
support rewrite plugin coredns nodelocaldns"
1892562614ebf917da484cf0a187f5c03d4e1ea7,0,update readme,"what type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
which issue this


special note your reviewer
this introduce user face change","update readmewhat type this

uncomment only kind line enter that line remove lead whitespaces from that line
kind change
kind
kind cleanup
kind design
kind documentation
kind fail test
kind feature
kind flake

what this need
which issue this


special note your reviewer
this introduce user face change"
