commit_hash,commit_date,message,filename,status,issue_num,diff,category,category_zukawa,category_watanabe,memo_zukawa,memo_watanabe
e38258381fd0d111cd339ce3e334920d5898dbe9,2016-08-02 14:56:31+00:00,Wait for static pods when setting up Fixes #390,roles/kubernetes/master/tasks/main.yml,MODIFY,390,"@@ -19,12 +19,7 @@
     src: manifests/kube-apiserver.manifest.j2
     dest: ""{{ kube_manifest_dir }}/kube-apiserver.manifest""
   register: apiserver_manifest
-
-- name: restart kubelet
-  service:
-    name: kubelet
-    state: restarted
-  when: apiserver_manifest.changed
+  notify: Master | restart kubelet
 
 - name: wait for the apiserver to be running
   uri: url=http://localhost:8080/healthz
@@ -58,8 +53,10 @@
   template:
     src: manifests/kube-controller-manager.manifest.j2
     dest: ""{{ kube_manifest_dir }}/kube-controller-manager.manifest""
+  notify: wait for kube-controller-manager
 
 - name: Write kube-scheduler manifest
   template:
     src: manifests/kube-scheduler.manifest.j2
     dest: ""{{ kube_manifest_dir }}/kube-scheduler.manifest""
+  notify: wait for kube-scheduler
",notify,notify,notify,一部削除されたタスクがあるが，全体の変更としては通知箇所の追加が見られる,notifyに変更している
e38258381fd0d111cd339ce3e334920d5898dbe9,2016-08-02 14:56:31+00:00,Wait for static pods when setting up Fixes #390,roles/kubernetes/master/handlers/main.yml,MODIFY,390,"@@ -1,4 +1,35 @@
 ---
-- name: restart kube-apiserver
-  set_fact:
-    restart_apimaster: True
+- name: Master | restart kubelet
+  command: /bin/true
+  notify:
+    - Kubelet | reload systemd
+    - Kubelet | reload kubelet
+
+- name: wait for master static pods
+  command: /bin/true
+  notify:
+    - wait for kube-scheduler
+    - wait for kube-controller-manager
+
+- name: Master | reload systemd
+  command: systemctl daemon-reload
+  when: ansible_service_mgr == ""systemd""
+
+- name: Master | reload kubelet
+  service:
+    name: kubelet
+    state: restarted
+
+- name: wait for kube-scheduler
+  uri: url=http://localhost:10251/healthz
+  register: scheduler_result
+  until: scheduler_result.status == 200
+  retries: 15
+  delay: 5
+
+- name: wait for kube-controller-manager
+  uri: url=http://localhost:10252/healthz
+  register: controller_manager_result
+  until: controller_manager_result.status == 200
+  retries: 15
+  delay: 5
",add_task,add_task,add_task,通知を行うだけのタスクやサービス関連のタスクなど複数のタスクが追加されている,タスクが追加されている
643b28f9d3524cb213dcd186be7bfebdfda4c5bb,2016-08-24 10:36:25+00:00,"Revert ""Fix resolv.conf search/nameserver"" This reverts commit 977f82c32c3e92155538af87842e6b4fb3a59141.",roles/dnsmasq/tasks/main.yml,MODIFY,None,"@@ -68,17 +68,9 @@
     resolvconffile: >-
       {%- if resolvconf.rc == 0 -%}/etc/resolvconf/resolv.conf.d/head{%- else -%}/etc/resolv.conf{%- endif -%}
 
-- name: generate search domains to resolvconf
-  set_fact:
-    searchentries=""{{ ([ 'default.svc.' + dns_domain, 'svc.' + dns_domain ] + searchdomains|default([])) | join(' ') }}""
-
-- name: generate nameservers to resolvconf
-  set_fact:
-    nameserverentries=""{{ nameservers|default([]) + [ dns_server ] }}""
-
 - name: Add search resolv.conf
   lineinfile:
-    line: ""search {{searchentries}}""
+    line: ""search {{ [ 'default.svc.' + dns_domain, 'svc.' + dns_domain, dns_domain ] | join(' ') }}""
     dest: ""{{resolvconffile}}""
     state: present
     insertbefore: BOF
@@ -87,13 +79,12 @@
 
 - name: Add local dnsmasq to resolv.conf
   lineinfile:
-    line: ""nameserver {{item}}""
+    line: ""nameserver {{dns_server}}""
     dest: ""{{resolvconffile}}""
     state: present
     insertafter: ""^search.*$""
     backup: yes
     follow: yes
-  with_items: ""{{nameserverentries}}""
 
 - name: Add options to resolv.conf
   lineinfile:
@@ -109,13 +100,11 @@
     - attempts:2
 
 - name: disable resolv.conf modification by dhclient
-  copy: src=dhclient_nodnsupdate dest=/etc/dhcp/dhclient-enter-hooks.d/znodnsupdate mode=0755 backup=yes
-  notify: Dnsmasq | restart network
+  copy: src=dhclient_nodnsupdate dest=/etc/dhcp/dhclient-enter-hooks.d/nodnsupdate mode=0755 backup=yes
   when: ansible_os_family == ""Debian""
 
 - name: disable resolv.conf modification by dhclient
-  copy: src=dhclient_nodnsupdate dest=/etc/dhcp/dhclient.d/znodnsupdate mode=u+x backup=yes
-  notify: Dnsmasq | restart network
+  copy: src=dhclient_nodnsupdate dest=/etc/dhcp/dhclient.d/nodnsupdate mode=u+x backup=yes
   when: ansible_os_family == ""RedHat""
 
 - name: update resolvconf
",edit_args,edit_args,edit_var,revert_commitである,set_factで設定していた値ではなくて、直接書く方法にRevertしてる。templateでの処理は似てるけど、ちょっと違うのでedit_varにした
643b28f9d3524cb213dcd186be7bfebdfda4c5bb,2016-08-24 10:36:25+00:00,"Revert ""Fix resolv.conf search/nameserver"" This reverts commit 977f82c32c3e92155538af87842e6b4fb3a59141.",roles/dnsmasq/handlers/main.yml,DELETE,None,"@@ -1,10 +0,0 @@
-- name: Dnsmasq | restart network
-  service:
-    name: >-
-      {% if ansible_os_family == ""RedHat"" -%}
-      network
-      {%- elif ansible_os_family == ""Debian"" -%}
-      networking
-      {%- endif %}
-    state: restarted
-  when: ansible_os_family != ""CoreOS""
",remove_task,remove_task,remove_task,削除されたタスクがどこにも移動していないため,taskの削除だけ
643b28f9d3524cb213dcd186be7bfebdfda4c5bb,2016-08-24 10:36:25+00:00,"Revert ""Fix resolv.conf search/nameserver"" This reverts commit 977f82c32c3e92155538af87842e6b4fb3a59141.",roles/dnsmasq/defaults/main.yml,DELETE,None,"@@ -1,12 +0,0 @@
----
-# Existing search/nameserver resolvconf entries will be purged and
-# ensured by this additional data:
-
-# Max of 4 names is allowed and no more than 256 - 17 chars total
-# (a 2 is reserved for the 'default.svc.' and'svc.')
-#searchdomains:
-#  - foo.bar.lc
-
-# Max of 2 is allowed here (a 1 is reserved for the dns_server)
-#nameservers:
-#  - 127.0.0.1
",comment,other,other,削除されている箇所がコメントのみであるため,そもそもコメントの部分を削除している
caa81f3ac2150bd8a54d7c311f978fa7f8bae6ab,2016-11-14 13:49:17+00:00,Fix etcd ssl for canal - Move CNI configuration from `kubernetes/node` role to `network_plugin/canal` - Create SSL dir for Canal and symlink etcd SSL files - Add needed options to `canal-config` configmap - Run flannel and calico-node containers with proper configuration,roles/network_plugin/canal/tasks/main.yml,MODIFY,None,"@@ -1,4 +1,28 @@
 ---
+- name: Canal | Write Canal cni config
+  template:
+    src: ""cni-canal.conf.j2""
+    dest: ""/etc/cni/net.d/10-canal.conf""
+    owner: kube
+
+- name: Canal | Create canal certs directory
+  file:
+    dest: ""{{ canal_cert_dir }}""
+    state: directory
+    mode: 0750
+    owner: root
+    group: root
+
+- name: Canal | Link etcd certificates for canal-node
+  file:
+    src: ""{{ etcd_cert_dir }}/{{ item.s }}""
+    dest: ""{{ canal_cert_dir }}/{{ item.d }}""
+    state: hard
+  with_items:
+    - {s: ""ca.pem"", d: ""ca_cert.crt""}
+    - {s: ""node.pem"", d: ""cert.crt""}
+    - {s: ""node-key.pem"", d: ""key.pem""}
+
 - name: Canal | Set Flannel etcd configuration
   command: |-
     {{ bin_dir }}/etcdctl --peers={{ etcd_access_addresses }} \
",add_task,add_task,add_task,Canal | Write Canal cni config'タスクのみ移動してきたが，それ以外は新規のタスクである,タスクの追加
caa81f3ac2150bd8a54d7c311f978fa7f8bae6ab,2016-11-14 13:49:17+00:00,Fix etcd ssl for canal - Move CNI configuration from `kubernetes/node` role to `network_plugin/canal` - Create SSL dir for Canal and symlink etcd SSL files - Add needed options to `canal-config` configmap - Run flannel and calico-node containers with proper configuration,roles/network_plugin/canal/defaults/main.yml,MODIFY,None,"@@ -9,3 +9,7 @@ canal_masquerade: ""true""
 
 # Log-level
 canal_log_level: ""info""
+
+# Etcd SSL dirs
+canal_cert_dir: /etc/canal/certs
+etcd_cert_dir: /etc/ssl/etcd/ssl
",edit_var,edit_var,edit_var,新規タスクに使われる変数が追加された,変数の追加
caa81f3ac2150bd8a54d7c311f978fa7f8bae6ab,2016-11-14 13:49:17+00:00,Fix etcd ssl for canal - Move CNI configuration from `kubernetes/node` role to `network_plugin/canal` - Create SSL dir for Canal and symlink etcd SSL files - Add needed options to `canal-config` configmap - Run flannel and calico-node containers with proper configuration,roles/kubernetes/node/tasks/main.yml,MODIFY,None,"@@ -11,13 +11,6 @@
     owner: kube
   when: kube_network_plugin == ""calico""
 
-- name: Write Canal cni config
-  template:
-    src: ""cni-canal.conf.j2""
-    dest: ""/etc/cni/net.d/10-canal.conf""
-    owner: kube
-  when: kube_network_plugin == ""canal""
-
 - name: Write kubelet config file
   template: src=kubelet.j2 dest={{ kube_config_dir }}/kubelet.env backup=yes
   notify:
",move,move,remove_task,roles/network_plugin/canal/tasks/main.ymlに移動している,タスクの削除
a15d626771871613f98f2bc2c45156ae6c9caece,2016-12-09 16:30:55+00:00,"Preconfigure DNS stack and docker early In order to enable offline/intranet installation cases: * Move DNS/resolvconf configuration to preinstall role. Remove skip_dnsmasq_k8s var as not needed anymore. * Preconfigure DNS stack early, which may be the case when downloading artifacts from intranet repositories. Do not configure K8s DNS resolvers for hosts /etc/resolv.conf yet early (as they may be not existing). * Reconfigure K8s DNS resolvers for hosts only after kubedns/dnsmasq was set up and before K8s apps to be created. * Move docker install task to early stage as well and unbind it from the etcd role's specific install path. Fix external flannel dependency on docker role handlers. Also fix the docker restart handlers' steps ordering to match the expected sequence (the socket then the service). * Add default resolver fact, which is the cloud provider specific and remove hardcoded GCE resolver. * Reduce default ndots for hosts /etc/resolv.conf to 2. Multiple search domains combined with high ndots values lead to poor performance of DNS stack and make ansible workers to fail very often with the ""Timeout (12s) waiting for privilege escalation prompt:"" error. * Update docs. Signed-off-by: Bogdan Dobrelya <bdobrelia@mirantis.com>",roles/kubernetes/node/meta/main.yml,MODIFY,None,"@@ -28,13 +28,10 @@ dependencies:
     tags: [download, netchecker]
   - role: download
     file: ""{{ downloads.kubednsmasq }}""
-    when: not skip_dnsmasq_k8s|default(false)
     tags: [download, dnsmasq]
   - role: download
     file: ""{{ downloads.kubedns }}""
-    when: not skip_dnsmasq_k8s|default(false)
     tags: [download, dnsmasq]
   - role: download
     file: ""{{ downloads.exechealthz }}""
-    when: not skip_dnsmasq_k8s|default(false)
     tags: [download, dnsmasq]
",condition,condition,condition,whenディレクティブそのものが削除されている,whenの削除
a15d626771871613f98f2bc2c45156ae6c9caece,2016-12-09 16:30:55+00:00,"Preconfigure DNS stack and docker early In order to enable offline/intranet installation cases: * Move DNS/resolvconf configuration to preinstall role. Remove skip_dnsmasq_k8s var as not needed anymore. * Preconfigure DNS stack early, which may be the case when downloading artifacts from intranet repositories. Do not configure K8s DNS resolvers for hosts /etc/resolv.conf yet early (as they may be not existing). * Reconfigure K8s DNS resolvers for hosts only after kubedns/dnsmasq was set up and before K8s apps to be created. * Move docker install task to early stage as well and unbind it from the etcd role's specific install path. Fix external flannel dependency on docker role handlers. Also fix the docker restart handlers' steps ordering to match the expected sequence (the socket then the service). * Add default resolver fact, which is the cloud provider specific and remove hardcoded GCE resolver. * Reduce default ndots for hosts /etc/resolv.conf to 2. Multiple search domains combined with high ndots values lead to poor performance of DNS stack and make ansible workers to fail very often with the ""Timeout (12s) waiting for privilege escalation prompt:"" error. * Update docs. Signed-off-by: Bogdan Dobrelya <bdobrelia@mirantis.com>",roles/kubernetes/preinstall/tasks/set_facts.yml,MODIFY,None,"@@ -49,3 +49,6 @@
     etcd_after_v3: etcd_version | version_compare(""v3.0.0"", "">="")
 - set_fact:
     etcd_container_bin_dir: ""{% if etcd_after_v3 %}/usr/local/bin/{% else %}/{% endif %}""
+- set_fact:
+    default_resolver: >-
+      {%- if cloud_provider is defined and cloud_provider == 'gce' -%}169.254.169.254{%- else -%}8.8.8.8{%- endif -%}
",edit_var,edit_var,edit_var,set_factモジュールを用いてdefault_resolverが追加されている,変数の追加
